"date","bread_hits","state"
2020-04-28,58,"Wisconsin"
2020-04-29,71,"Wisconsin"
2020-04-30,54,"Wisconsin"
2020-05-01,53,"Wisconsin"
2020-05-02,58,"Wisconsin"
2020-05-03,66,"Wisconsin"
2020-05-04,50,"Wisconsin"
2020-05-05,49,"Wisconsin"
2020-05-06,49,"Wisconsin"
2020-05-07,52,"Wisconsin"
2020-05-08,60,"Wisconsin"
2020-05-09,62,"Wisconsin"
2020-05-10,73,"Wisconsin"
2020-05-11,50,"Wisconsin"
2020-05-12,49,"Wisconsin"
2020-05-13,44,"Wisconsin"
2020-05-14,47,"Wisconsin"
2020-05-15,38,"Wisconsin"
2020-05-16,56,"Wisconsin"
2020-02-18,24,"West Virginia"
2020-02-19,23,"West Virginia"
2020-02-20,39,"West Virginia"
2020-02-21,30,"West Virginia"
2020-02-22,47,"West Virginia"
2020-02-23,44,"West Virginia"
2020-02-24,50,"West Virginia"
2020-02-25,23,"West Virginia"
2020-02-26,26,"West Virginia"
2020-02-27,32,"West Virginia"
2020-02-28,27,"West Virginia"
2020-02-29,38,"West Virginia"
2020-03-01,32,"West Virginia"
2020-03-02,36,"West Virginia"
2020-03-03,25,"West Virginia"
2020-03-04,23,"West Virginia"
2020-03-05,34,"West Virginia"
2020-03-06,40,"West Virginia"
2020-03-07,38,"West Virginia"
2020-03-08,52,"West Virginia"
2020-03-09,25,"West Virginia"
2020-03-10,29,"West Virginia"
2020-03-11,23,"West Virginia"
2020-03-12,38,"West Virginia"
2020-03-13,25,"West Virginia"
2020-03-14,49,"West Virginia"
2020-03-15,57,"West Virginia"
2020-03-16,38,"West Virginia"
2020-03-17,49,"West Virginia"
2020-03-18,51,"West Virginia"
2020-03-19,47,"West Virginia"
2020-03-20,81,"West Virginia"
2020-03-21,100,"West Virginia"
2020-03-22,97,"West Virginia"
2020-03-23,67,"West Virginia"
2020-03-24,50,"West Virginia"
2020-03-25,77,"West Virginia"
2020-03-26,45,"West Virginia"
2020-03-27,57,"West Virginia"
2020-03-28,84,"West Virginia"
2020-03-29,78,"West Virginia"
2020-03-30,37,"West Virginia"
2020-03-31,42,"West Virginia"
2020-04-01,55,"West Virginia"
2020-04-02,46,"West Virginia"
2020-04-03,62,"West Virginia"
2020-04-04,71,"West Virginia"
2020-04-05,71,"West Virginia"
2020-04-06,39,"West Virginia"
2020-04-07,58,"West Virginia"
2020-04-08,65,"West Virginia"
2020-04-09,63,"West Virginia"
2020-04-10,68,"West Virginia"
2020-04-11,77,"West Virginia"
