"date","coronavirus_hits","state"
2020-04-28,16,"Wisconsin"
2020-04-29,16,"Wisconsin"
2020-04-30,14,"Wisconsin"
2020-05-01,15,"Wisconsin"
2020-05-02,15,"Wisconsin"
2020-05-03,16,"Wisconsin"
2020-05-04,16,"Wisconsin"
2020-05-05,15,"Wisconsin"
2020-05-06,14,"Wisconsin"
2020-05-07,14,"Wisconsin"
2020-05-08,13,"Wisconsin"
2020-05-09,13,"Wisconsin"
2020-05-10,14,"Wisconsin"
2020-05-11,14,"Wisconsin"
2020-05-12,14,"Wisconsin"
2020-05-13,14,"Wisconsin"
2020-05-14,16,"Wisconsin"
2020-05-15,13,"Wisconsin"
2020-05-16,13,"Wisconsin"
2020-02-18,4,"West Virginia"
2020-02-19,2,"West Virginia"
2020-02-20,2,"West Virginia"
2020-02-21,2,"West Virginia"
2020-02-22,2,"West Virginia"
2020-02-23,3,"West Virginia"
2020-02-24,4,"West Virginia"
2020-02-25,8,"West Virginia"
2020-02-26,12,"West Virginia"
2020-02-27,12,"West Virginia"
2020-02-28,10,"West Virginia"
2020-02-29,12,"West Virginia"
2020-03-01,10,"West Virginia"
2020-03-02,14,"West Virginia"
2020-03-03,14,"West Virginia"
2020-03-04,16,"West Virginia"
2020-03-05,18,"West Virginia"
2020-03-06,20,"West Virginia"
2020-03-07,23,"West Virginia"
2020-03-08,22,"West Virginia"
2020-03-09,26,"West Virginia"
2020-03-10,38,"West Virginia"
2020-03-11,48,"West Virginia"
2020-03-12,91,"West Virginia"
2020-03-13,100,"West Virginia"
2020-03-14,95,"West Virginia"
2020-03-15,99,"West Virginia"
2020-03-16,94,"West Virginia"
2020-03-17,95,"West Virginia"
2020-03-18,87,"West Virginia"
2020-03-19,72,"West Virginia"
2020-03-20,77,"West Virginia"
2020-03-21,82,"West Virginia"
2020-03-22,88,"West Virginia"
2020-03-23,76,"West Virginia"
2020-03-24,71,"West Virginia"
2020-03-25,74,"West Virginia"
2020-03-26,71,"West Virginia"
2020-03-27,67,"West Virginia"
2020-03-28,65,"West Virginia"
2020-03-29,60,"West Virginia"
2020-03-30,55,"West Virginia"
2020-03-31,54,"West Virginia"
2020-04-01,51,"West Virginia"
2020-04-02,49,"West Virginia"
2020-04-03,62,"West Virginia"
2020-04-04,65,"West Virginia"
2020-04-05,63,"West Virginia"
2020-04-06,64,"West Virginia"
2020-04-07,56,"West Virginia"
2020-04-08,52,"West Virginia"
2020-04-09,53,"West Virginia"
2020-04-10,47,"West Virginia"
2020-04-11,34,"West Virginia"
2020-04-12,31,"West Virginia"
2020-04-13,43,"West Virginia"
